food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
"Mango, ripe, himsagar (Mangifera indica)",Fruits,0.46,44.69,137.0,12.25,1.31,Safe,Vegetarian,92.932
"Mango, ripe, kesar (Mangifera indica)",Fruits,0.54,55.21,143.0,12.36,1.43,Safe,Vegetarian,92.7005
"Mango, ripe, neelam (Mangifera indica)",Fruits,0.68,42.54,137.0,11.63,1.2,Safe,Vegetarian,93.1885
"Mango, ripe, paheri (Mangifera indica)",Fruits,0.68,44.93,153.0,15.18,1.63,Safe,Vegetarian,92.1895
"Mango, ripe, totapari (Mangifera indica)",Fruits,0.41,59.27,160.0,9.87,1.32,Safe,Vegetarian,91.8505
Mangosteen (Garcinia mangostana),Fruits,0.63,52.34,46.93,7.18,3.79,Safe,Vegetarian,97.735
Manila tamarind (Pithecellobium dulce),Fruits,3.56,81.74,376.0,73.53,1.35,Avoid,Vegetarian,81.016
"Musk melon, orange flesh (Cucumis melon)",Fruits,0.42,23.18,206.0,17.28,14.94,Moderate,Vegetarian,88.509
"Musk melon, yellow flesh (Cucumis melon)",Fruits,0.53,27.72,196.0,13.09,15.78,Safe,Vegetarian,89.2865
"Orange, pulp (Citrus aurantium)",Fruits,0.7,37.28,164.0,12.9,1.47,Safe,Vegetarian,91.78150000000001
